Date,Open,High,Low,Close,Volume,Adj Close
1/2/14,100.599998,100.760002,99.389999,99.75,11028100,90.583023
1/3/14,99.769997,100.169998,99.139999,99.510002,9295600,90.365081
1/6/14,99.940002,100.139999,98.889999,99.660004,11848500,90.501298
1/7/14,99.610001,101.220001,99.419998,101.07,11187000,91.781716
1/8/14,101.190002,101.190002,100.150002,100.739998,11180400,91.482041
1/9/14,100.199997,100.389999,99.029999,99.760002,11674300,90.592106
1/10/14,99.989998,100.629997,99.120003,100.519997,10535400,91.282258
1/13/14,99.910004,100.099998,98.269997,98.550003,12110900,89.493306
1/14/14,98.800003,99.269997,98.650002,99.120003,9265000,90.010923
1/15/14,99.160004,99.349998,98.629997,98.779999,9425500,89.702165
1/16/14,98.790001,99.040001,98.25,98.940002,9421700,89.847464
1/17/14,99.18,100.339996,98.669998,99.160004,15998000,90.047247
1/21/14,98.57,98.889999,98.040001,98.5,13847300,89.447898
1/22/14,98.879997,98.949997,97.839996,97.879997,11642800,88.884873
1/23/14,97.25,97.389999,96.010002,96.970001,15393200,88.058505
1/24/14,96.18,96.25,94.82,94.849998,14584300,86.13333
1/27/14,95.080002,95.580002,94.75,94.919998,12474600,86.196896
1/28/14,95.349998,95.919998,94.769997,95.650002,10773600,86.859813
1/29/14,94.93,96.199997,94.650002,95.110001,13191500,86.369438
1/30/14,94,94.949997,93.059998,93.989998,14628400,85.352363
1/31/14,92.849998,93.279999,91.699997,92.160004,17361400,83.690544
2/3/14,91.919998,92.309998,89.639999,90.050003,20377900,81.774452
2/4/14,90.370003,90.639999,89.389999,90.019997,17414400,81.747203
2/5/14,90.309998,90.610001,89.379997,89.580002,16393600,81.347643
2/6/14,89.510002,90.18,89.25,89.800003,13646100,82.124998
2/7/14,90.120003,90.629997,89.75,90.580002,12573800,82.838332
2/10/14,90.449997,90.529999,89.360001,89.519997,12237700,81.868923
2/11/14,89.559998,91,89.400002,90.839996,13422800,83.076106
2/12/14,91.010002,91.860001,90.639999,91.080002,10752400,83.295598
2/13/14,90.589996,91.650002,90.400002,91.43,9775300,83.615683
2/14/14,91.809998,94.43,91.599998,94.110001,18260400,86.06663
2/18/14,94.07,94.720001,93.360001,94.07,12979300,86.030048
2/19/14,93.800003,95.290001,93.800003,93.949997,12227800,85.920302
2/20/14,93.849998,95.769997,93.75,95.370003,14424300,87.218943
2/21/14,95.480003,95.580002,94.940002,95.029999,11282200,86.907998
2/24/14,95.610001,97.25,95.410004,96.440002,16012500,88.197492
2/25/14,96.540001,96.970001,95.959999,96.309998,10663000,88.078598
2/26/14,96.559998,96.860001,95.529999,95.790001,9087600,87.603045
2/27/14,95.580002,96.050003,95.160004,95.839996,9101200,87.648767
2/28/14,95.959999,96.830002,95.779999,96.269997,12651400,88.042016
3/3/14,95.760002,96.540001,94.830002,95.5,11896700,87.337829
